identifier,accessLevel,contactPoint,programCode,description,title,distribution,license,bureauCode,modified,publisher,keyword
usda-dm-0007,public,"{""hasEmail"": ""mailto:alexis.graves@ocio.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Alexis Graves""}","[""005:059""]","The USDA Purchase Card Transaction Report list all transactions for a specific period of time.  The Purchase Card Transaction Report lists specific purchase (transaction) data such as the following:  card holder’s name, visa merchant ID, address, work phone number, e-mail address, MCC code, transaction date, transaction amount, merchant name, merchant address, merchant phone number and the post date.",USDA Purchase Card Transaction Report,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.dm.usda.gov/R162105A.XLS"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Report 1""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.dm.usda.gov/R162105B.XLS"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Report 2""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.dm.usda.gov/R162105C.XLS"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Report 3""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:12""]",2010-12-13,"{""@type"": ""org:Organization"", ""name"": ""Department of Agriculture, OCIO""}","[""FOIA""]"
USDA-ERS-02580,public,"{""hasEmail"": ""mailto:morehart@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Mitch Morehart""}","[""005:041""]","The annual Agricultural Resource Management Survey (ARMS) is USDA's primary source of information on the financial condition, production practices, and resource use of America's farm businesses and the economic well-being of America's farm households. ARMS data are essential to USDA, congressional, administration, and industry decision makers when weighing alternative policies and programs that touch the farm sector or affect farm families.

The ERS content and data APIs (including our pre-made widgets for embedding charts) are currently out of service while we redesign our site. Check back here for updates--we'll keep you informed as to the progress. Contact us at webadmin@ers.usda.gov with questions.",ARMS Farm Financial and Crop Production Practices,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/arms-farm-financial-and-crop-production-practices/tailored-reports-farm-structure-and-finance.aspx"", ""mediaType"": ""text/html"", ""title"": ""Query tool - Farm structure and finance""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/arms-farm-financial-and-crop-production-practices/tailored-reports-crop-production-practices.aspx"", ""mediaType"": ""text/html"", ""title"": ""Query tool - Crop production practices""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2015-01-29,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""Agricultural Resource Management Survey"", ""crop production practices"", ""farm structure"", ""finance""]"
USDA-04708,public,"{""hasEmail"": ""mailto:jorgef@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Jorge Fernandez-Cornejo""}","[""005:041""]","This data product summarizes the extent of adoption of herbicide-tolerant (HT), insect-resistant (Bt), and those with both traits (""stacked"") genetically engineered (GE) crops in the United States. Data cover GE varieties of corn, cotton, and soybeans over the 2000-2013 period, for the U.S.",Adoption of Genetically Engineered Crops in the U.S.,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/adoption-of-genetically-engineered-crops-in-the-us.aspx"", ""description"": ""Web page with link to Excel file."", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Data file""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""Bt"", ""Bt-corn"", ""Bt-cotton"", ""Genetically engineered crops"", ""acres"", ""adoption"", ""biotechnology"", ""corn"", ""cotton"", ""herbicide tolerant"", ""ht-corn"", ""ht-cotton"", ""ht-soybeans"", ""insect tolerant"", ""soybeans""]"
USDA-ERS-00051,public,"{""hasEmail"": ""mailto:eleibtag@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Ephraim Leibtag""}","[""005:041""]","A collection of over 75 charts and maps presenting key statistics on the farm sector, food spending and prices, food security, rural communities, the interaction of agriculture and natural resources, and more.

How much do you know about food and agriculture? What about rural America or conservation? ERS has assembled more than 75 charts and maps covering key information about the farm and food sectors, including agricultural markets and trade, farm income, food prices and consumption, food security, rural economies, and the interaction of agriculture and natural resources.

How much, for example, do agriculture and related industries contribute to U.S. gross domestic product? Which commodities are the leading agricultural exports? How much of the food dollar goes to farmers? How do job earnings in rural areas compare with metro areas? How much of the Nation’s water is used by agriculture? These are among the statistics covered in this collection of charts and maps—with accompanying text—divided into the nine section titles.",Ag and Food Statistics: Charting the Essentials,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/ag-and-food-sectors-and-the-economy.aspx"", ""description"": ""chart gallery"", ""mediaType"": ""image/png"", ""title"": ""Ag and Food Sectors and the Economy""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/land-and-natural-resources.aspx"", ""mediaType"": ""text/html"", ""title"": ""Land and Natural Resources""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/farming-and-farm-income.aspx"", ""mediaType"": ""text/html"", ""title"": ""Farming and Farm Income""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/rural-economy.aspx"", ""mediaType"": ""text/html"", ""title"": ""Rural Economy""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/agricultural-production-and-prices.aspx"", ""mediaType"": ""text/html"", ""title"": ""Agricultural Production and Prices""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/agricultural-trade.aspx"", ""mediaType"": ""text/html"", ""title"": ""Agricultural Trade""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/food-availability-and-consumption.aspx"", ""mediaType"": ""text/html"", ""title"": ""Food Availability and Consumption""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/food-prices-and-spending.aspx"", ""mediaType"": ""text/html"", ""title"": ""Food Prices and Spending""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/ag-and-food-statistics-charting-the-essentials/food-security-and-nutrition-assistance.aspx"", ""mediaType"": ""text/html"", ""title"": ""Food Security and Nutrition Assistance""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""agriculture"", ""charts"", ""food"", ""maps"", ""rural sociology""]"
USDA-ERS-02576,public,"{""hasEmail"": ""mailto:westcott@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Paul Westcott""}","[""005:041""]","The agricultural baseline database provides longrun, 10-year projections from USDA's annual long-term projections report. The database covers projections for major field crops (corn, sorghum, barley, oats, wheat, rice, soybeans, and upland cotton), and livestock (beef, pork, poultry and eggs, and dairy).",Agricultural Baseline Database,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/agricultural-baseline-database/custom-queries.aspx"", ""mediaType"": ""text/html"", ""title"": ""Query tool""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""Longrun projections"", ""barley"", ""beef"", ""commodities"", ""corn"", ""crops"", ""dairy"", ""eggs"", ""forecasts"", ""livestock"", ""oats"", ""pork"", ""poultry"", ""rice"", ""sorghum"", ""soybeans"", ""upland cotton"", ""wheat""]"
USDA-ERS-00037,non-public,"{""hasEmail"": ""mailto:slwang@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Sun Ling Wang""}","[""005:041""]",Farm machinery dataset,Agricultural Equipment Manufacturers Association: Farm machinery dataset,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.farmequip.org/"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-25,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service: Resource and Rural Economics Division""}","[""Agricultural Machinery"", ""ERS"", ""Economic Research Service"", ""Price Index"", ""USDA""]"
USDA-ERS-00052,public,"{""hasEmail"": ""mailto:mshane@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Mathew Shane""}","[""005:041""]","This data set contains annual and monthly data for exchange rates important to U.S. agriculture. It includes both nominal and real exchange rates for 79 countries, plus the European Union (EU), as well as real trade-weighted exchange rate indexes for many commodities and aggregations.",Agricultural Exchange Rate Data Set,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/agricultural-exchange-rate-data-set.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, US Department of Agriculture""}","[""USDA"", ""agricultural economics"", ""agriculture"", ""exchange rate""]"
USDA-ERS-00103,public,"{""hasEmail"": ""mailto:mlandes@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Maurice Landes""}","[""005:041""]",The statistical indicator tables formerly provided in Agricultural Outlook magazine are no longer being updated. The data provided in most of those tables are maintained online elsewhere on the ERS website or by the primary data providers. Below are links to the online sources for most of the tables. Several tables have been discontinued because current data are no longer available.,Agricultural Outlook Statistical Indicators,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/agricultural-outlook-statistical-indicators.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-06-17,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics""]"
USDA-ERS-05407,public,"{""hasEmail"": ""mailto:eball@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Eldon Ball""}","[""005:041""]","Increased productivity is the main contributor to growth in U.S. agriculture. This data set provides estimates of productivity growth in the U.S. farm sector for the 1948-2011 period, and estimates of the growth and relative levels of productivity across the States for the period 1960-2004.",Agricultural Productivity in the U.S.,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/agricultural-productivity-in-the-us.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page with links to Excel files""}]",https://creativecommons.org/licenses/by/4.0,"[""005:13""]",2014-12-23,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""Economic Research Service"", ""U S Department of Agriculture"", ""USDA"", ""agricultural economics"", ""agricultural productivity"", ""data"", ""data set"", ""inputs"", ""outputs"", ""total factor productivity""]"
USDA-ERS-05408,public,"{""hasEmail"": ""mailto:kday@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Kelly Day-Rubenstein""}","[""005:041""]",Data for public and private funding of food and agricultural research and development cover the years 1970-2009 (public) and 1970-2007 (private). Data are available as nominal figures and adjusted for inflation.,Agricultural Research Funding in the Public and Private Sectors,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.ers.usda.gov/webdocs/DataFiles/Agricultural_Research_Funding_in_the_Public_and_Private_Sectors__17967/agresearchfunding.xls?v=40994"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Data file""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""Economic Research Service"", ""U S Department of Agriculture"", ""USDA"", ""agricultural economics"", ""private agricultural research"", ""public agricultural research"", ""research and development R D"", ""research policy""]"
USDA-ERS-26041,public,"{""hasEmail"": ""mailto:spersaud@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Suresh Persaud""}","[""005:041""]","Agricultural trade multipliers provide estimates of employment and/or output effects of trade in farm and food products on the U.S. economy. These effects, when expressed as multipliers, reflect the amount of economic activity and/or jobs generated by agricultural exports.",Agricultural Trade Multipliers,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/dataFiles/ATMCalculator/2011MultipliersProducerPort.xls"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Detailed ERS Producer and Port Multipliers by Commodity""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/agricultural-trade-multipliers/calculator.aspx"", ""mediaType"": ""text/html"", ""title"": ""Online calculator""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""I O"", ""agricultural economics"", ""agricultural exports"", ""data"", ""economic output"", ""employment"", ""input output model"", ""margins"", ""multipliers"", ""port"", ""producer""]"
USDA-ERS-00045,non-public,"{""hasEmail"": ""mailto:pheisey@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Paul Heisey""}","[""005:041""]","University faculty salaries.  We use Table 4, Average Salary and Average Compensation",American Association of University Professors: Annual Report on the Economic Status of the Profession,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.aaup.org/our-work/research/annual-report-economic-status-profession"", ""mediaType"": ""text/html"", ""title"": ""Vendor Website""}]",,"[""005:13""]",2014-02-28,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service: Resource and Rural Economics Division""}","[""ERS"", ""Economic Research Service"", ""Research Cost Data"", ""USDA""]"
USDA-ERS-05394,public,"{""hasEmail"": ""mailto:djharvey@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""David Harvey""}","[""005:041""]","Aquaculture is the production of aquatic animals and plants under controlled conditions for all or part of their lifecycle. This data product provides statistics on domestically grown catfish and trout and U.S. imports and exports of fish and shellfish that may be products of aquaculture, such as salmon, shrimp, and oysters.",Aquaculture Data,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.ers.usda.gov/webdocs/DataFiles/Aquaculture_Data__17968/28242_Aquaculture.zip?v=42774"", ""mediaType"": ""application/xml"", ""title"": ""ZIP file of CSV formatted data""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/aquaculture-data.aspx"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Web page links to Excel files""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-03-19,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""ERS"", ""Economic Research Service"", ""U S Department of Agriculture"", ""USDA"", ""agricultural economics"", ""catfish"", ""exports"", ""fish"", ""imports"", ""shellfish""]"
USDA-ERS-05398,public,"{""hasEmail"": ""mailto:jbc@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""John Cromartie""}","[""005:041""]","View the diversity of challenges and opportunities across America's counties within different types of rural regions and communities. Get statistics on people, jobs, and agriculture.",Atlas of Rural and Small-Town America,"[{""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.ers.usda.gov/webdocs/DataFiles/Rural_Atlas_Download_the_Data__18022/RuralAtlasData13.xlsx?v=42573"", ""mediaType"": ""application/vnd.ms-excel"", ""title"": ""Data file""}, {""accessURL"": ""http://gis.ers.usda.gov/arcgis/rest/services/"", ""@type"": ""dcat:Distribution"", ""format"": ""API"", ""description"": ""See http://www.ers.usda.gov/developer/geospatial-apis.aspx"", ""title"": ""GIS API Services""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""http://www.ers.usda.gov/data-products/atlas-of-rural-and-small-town-america/go-to-the-atlas.aspx"", ""mediaType"": ""text/html"", ""title"": ""Interactive map""}, {""@type"": ""dcat:Distribution"", ""downloadURL"": ""https://www.ers.usda.gov/webdocs/DataFiles/Rural_Atlas_Download_the_Data__18022/53964_RuralAtlasCSVv13.zip?v=42573"", ""format"": ""CSV"", ""mediaType"": ""text/csv"", ""title"": ""Zip of CSV files""}]",https://creativecommons.org/licenses/by/4.0,"[""005:13""]",2014-07-24,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, Department of Agriculture""}","[""agriculture"", ""county classifications"", ""geospatial"", ""gis"", ""jobs"", ""people""]"
USDA-ERS-10000,public,"{""hasEmail"": ""mailto:webadmin@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Website Administrator""}","[""005:041""]",This chart gallery is a collection of the best Charts of Note. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.,Best of Charts of Note 2013,"[{""accessURL"": ""https://www.ers.usda.gov/data-products/best-of-charts-of-note-2013/"", ""@type"": ""dcat:Distribution"", ""title"": ""Chart gallery""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-02-28,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""charts""]"
USDA-ERS-10001,public,"{""hasEmail"": ""mailto:webadmin@ers.usda.gov"", ""@type"": ""vcard:Contact"", ""fn"": ""Website Administrator""}","[""005:041""]",This chart gallery is a collection of the best Charts of Note for 2014. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.,Best of Charts of Note 2014,"[{""accessURL"": ""https://www.ers.usda.gov/data-products/best-of-charts-of-note-2014/"", ""@type"": ""dcat:Distribution"", ""title"": ""Chart gallery""}]",https://creativecommons.org/publicdomain/zero/1.0/,"[""005:13""]",2014-02-28,"{""@type"": ""org:Organization"", ""name"": ""Economic Research Service, U.S. Department of Agriculture""}","[""agricultural economics"", ""charts""]"
